,event_id,user_id,timestamp,event_name,session_id,week_of_year,month_of_year
0,1,359,2025-04-12,export_clicked,f3496cfe-6ec7-4339-9ad5-0025061f9d56,15,4
1,2,403,2025-02-18,dashboard_view,87d3d1f4-3a86-46e9-8dc4-219c3a0e6c7f,8,2
2,3,311,2024-12-23,dashboard_view,a1f68fd0-318c-459b-b414-b019ea010b2e,52,12
3,4,498,2024-05-14,login,e72d9368-a723-48a8-b44b-07c5f55525b2,20,5
4,5,37,2025-11-02,login,07642b48-7e0f-4964-9c87-78565c69bcc5,44,11
5,6,391,2025-04-28,feature_X_used,ee87286d-d966-4a2a-b78d-bccbd21935af,18,4
6,7,406,2025-04-14,data_upload,f5964573-d8d5-47c6-9440-20e3a381b2ca,16,4
7,8,300,2025-04-28,settings_update,f0c1a6b2-487f-4034-bc93-a960d2bb2855,18,4
8,9,146,2024-12-01,report_generated,5ddb6d36-9590-42ad-b679-0caee302ac53,48,12
9,10,265,2025-12-02,feature_X_used,34155e55-8517-4c27-b7a5-43b742692362,49,12
10,11,184,2024-03-07,report_generated,b985d166-2b29-40a3-8023-0024d1a5bdbe,10,3
11,12,336,2025-12-30,settings_update,e74a5a73-88a3-4705-bec5-34e04c2efb0e,1,12
12,13,243,2024-10-11,feature_X_used,c5084788-8113-4e1f-84eb-42bbf05a6973,41,10
13,14,151,2025-05-15,feature_X_used,43085d39-7065-49b5-ad8a-531fde879e4b,20,5
14,15,305,2024-10-30,report_generated,1ba21e17-fbe6-40b9-9c83-4d03977f641f,44,10
15,16,50,2025-05-17,report_generated,780336f8-c4aa-4503-b5ef-783a99af982a,20,5
16,17,352,2025-05-05,data_upload,99ec97c5-3aca-497a-a63a-7c8239a46bd8,19,5
17,18,329,2025-05-06,data_upload,1fefda79-245d-4b1c-ae65-bb306efd6566,19,5
18,19,480,2025-06-03,dashboard_view,ec859760-feba-445a-abfa-36fe8fdc22b0,23,6
19,20,427,2024-02-10,login,4005c0f6-41de-4892-b550-7c81fadabed9,6,2
20,21,322,2025-06-03,report_generated,6b640849-19d5-4d61-a443-194647b39b05,23,6
21,22,29,2024-10-16,export_clicked,1b45face-71da-4801-9bec-e6d30fb26425,42,10
22,23,154,2024-10-03,data_upload,39d1188f-3913-4a23-af05-52b1997a8d95,40,10
23,24,103,2024-03-01,report_generated,9e2a8c79-fa04-4229-bb54-d52d5fa2e76f,9,3
24,25,420,2025-12-30,dashboard_view,b1af703e-d546-4d8c-8fa7-15e79caa2a57,1,12
25,26,264,2024-10-22,settings_update,549bf94e-2279-4545-8ca4-7d77fc98d124,43,10
26,27,452,2024-04-12,export_clicked,cd1881c2-9c04-4798-bc74-19efd76a0670,15,4
27,28,103,2024-03-12,dashboard_view,c734cadd-f5d5-41ed-b3d7-63453de7cac6,11,3
28,29,256,2024-11-14,dashboard_view,ec37d6a0-31dc-4823-a417-a5a1efb1faed,46,11
29,30,127,2025-10-11,dashboard_view,6a464cca-e2c6-44ee-ad1d-c623a1e958b9,41,10
30,31,459,2024-08-06,feature_X_used,5635df96-bcc3-4819-a534-b8140df27dba,32,8
31,32,492,2024-06-16,dashboard_view,82b6d847-483d-48e8-b36b-cd25a4d87cb7,24,6
32,33,130,2025-04-12,login,67b61927-6214-4a30-8925-3f00e6a5556a,15,4
33,34,198,2024-04-07,feature_X_used,462abaea-28f7-44e8-bd63-03498b310cbf,14,4
34,35,440,2024-06-07,report_generated,991293cb-366f-4556-80c8-4201749c755e,23,6
35,36,287,2024-11-24,login,e25df91b-5754-4927-9d15-50954418d1b7,47,11
36,37,171,2025-04-26,dashboard_view,74a6c419-93b2-4d87-8a85-5cae8f835203,17,4
37,38,243,2024-10-06,dashboard_view,53cbf860-b989-45af-842a-9e8a3f9bf2cb,40,10
38,39,481,2024-10-26,feature_X_used,e5214f55-9200-4f3a-9042-2bd8a7535991,43,10
39,40,464,2024-12-20,dashboard_view,9b8e2992-cfac-4ff5-bd75-a9e840847d8f,51,12
40,41,185,2024-05-21,export_clicked,de2eebb9-6772-42e2-96db-6ca86ba76511,21,5
41,42,365,2025-10-31,login,8b91cf3b-9cc8-4935-b849-63a921ace06e,44,10
42,43,270,2025-05-31,settings_update,b2856582-6665-495b-86d1-176265687de4,22,5
43,44,360,2025-01-20,report_generated,779d127f-2eba-4b4e-9a63-01cdd845425f,4,1
44,45,298,2024-07-23,data_upload,25569781-e7e2-4f89-aebb-9447b59c36a3,30,7
45,46,62,2025-06-06,dashboard_view,3bb3dec6-8bd9-43f1-a48f-a91c115089ea,23,6
46,47,86,2024-09-25,feature_X_used,9ab5ad98-ef81-4cf6-b131-88d431e19a37,39,9
47,48,466,2024-11-28,login,b27deea1-6052-4c5d-bdc0-db53e2825862,48,11
48,49,382,2024-07-29,report_generated,710387b0-c7cd-45b6-bf21-a378d4be6695,31,7
49,50,142,2025-04-30,export_clicked,5b81984a-1d3f-44cb-bdf8-4d057520f454,18,4
50,51,273,2025-01-28,data_upload,54cabc50-be9a-472b-aa18-ff6c500d0957,5,1
51,52,124,2025-07-01,dashboard_view,b8a182b0-2bc7-4220-b691-31c152fd12a7,27,7
52,53,200,2024-09-18,dashboard_view,d68a5397-213e-4a4e-abee-174cb63b1ff2,38,9
53,54,323,2025-12-26,feature_X_used,208ab972-4d27-4247-b218-d841161ac752,52,12
54,55,314,2025-12-25,dashboard_view,32869e48-d92e-4a9d-8a91-395bcf54a4e5,52,12
55,56,355,2024-08-27,login,106759b2-6ced-41bf-879b-262144d77fb9,35,8
56,57,13,2024-07-04,dashboard_view,39f8e0fa-001b-4824-a206-83b7d9a86a86,27,7
57,58,467,2025-01-02,report_generated,2fd894de-47a1-45da-b917-600270c66f20,1,1
58,59,285,2024-07-05,data_upload,21fff859-e492-447d-a21e-c0554d7250cf,27,7
59,60,152,2025-10-11,login,db43c628-0184-45f5-baa1-400abd589074,41,10
60,61,385,2024-10-17,export_clicked,ffeac4da-7f9d-411b-994f-6d6353d1a101,42,10
61,62,117,2025-11-12,data_upload,70998d5d-07a8-42b7-84e5-bb43fc9c425f,46,11
62,63,379,2024-08-11,settings_update,d6a5bae6-38bd-49a3-bd0c-81565f3b6f4e,32,8
63,64,47,2025-03-24,export_clicked,dcecdf0b-9631-4dae-bfb1-876d82252957,13,3
64,65,319,2025-07-11,data_upload,7d16f5c6-c4cc-49e7-908f-740fa2d2ef92,28,7
65,66,64,2024-10-25,settings_update,3b48164d-624d-4061-ae03-46484478f567,43,10
66,67,212,2025-06-08,dashboard_view,490232a7-7074-4ed7-baad-97c245f4ce97,23,6
67,68,425,2025-09-16,data_upload,d0c9bdfa-a818-4a5b-a7e5-5fffb2013b67,38,9
68,69,74,2025-01-28,login,49b57d2d-9b75-4d3d-a6a8-900bd378ce42,5,1
69,70,137,2024-05-02,export_clicked,f9ff4830-fed6-4af6-8736-25fb85ab9aae,18,5
70,71,392,2024-05-24,feature_X_used,9c28e3a8-13c8-45bc-ae7d-a8f847f95e82,21,5
71,72,369,2025-02-21,login,0f6fc3cf-d0af-4586-aca3-82d2c2bc6746,8,2
72,73,340,2025-12-19,feature_X_used,72eacb56-113b-443e-95aa-94a8e808a239,51,12
73,74,164,2025-05-11,data_upload,25ce34a1-3644-4f0c-a0f9-8159d80d07c6,19,5
74,75,78,2025-12-13,dashboard_view,b85ed74d-b811-4df8-9003-b929de33c3c1,50,12
75,76,33,2024-10-07,data_upload,2bb9c0f7-ee64-4e74-a77b-e3f99ab72aeb,41,10
76,77,329,2025-06-01,data_upload,6267b151-75bd-457a-9b7f-95c6d323a89e,22,6
77,78,171,2025-04-05,export_clicked,e66a0088-2883-4f55-b8e1-ad57f097d9b5,14,4
78,79,341,2025-09-27,feature_X_used,cb7e40b5-47fa-4516-8d8c-c60da8dc3237,39,9
79,80,164,2025-02-26,login,1e36bacb-f86b-49a1-8bac-c032a5d111c6,9,2
80,81,230,2025-12-29,dashboard_view,f7f5ca20-6eea-4941-82e3-4e713ad45b9f,1,12
81,82,64,2024-09-28,report_generated,b01a7c1e-ce1a-4fe0-a867-e7b9b4de81ae,39,9
82,83,107,2024-09-02,report_generated,52ed33de-5da4-465e-8393-0a454473d824,36,9
83,84,373,2024-04-29,feature_X_used,5fb2ba9a-6fc7-45be-9484-b473a5c8af43,18,4
84,85,246,2025-11-07,login,bfb8e19b-9020-4b2a-a5d0-01a1e2e33471,45,11
85,86,75,2024-12-24,login,0acd0c12-6048-421b-a58c-d4102ee5b605,52,12
86,87,216,2025-05-01,dashboard_view,70f19bf1-c813-4e30-8981-c893a39450d4,18,5
87,88,441,2024-10-18,report_generated,2cb0b97d-6f79-45bb-8fa5-dfb4d27bcb8b,42,10
88,89,134,2024-11-23,feature_X_used,9228410a-c46a-414e-8066-e3eb855cf1f5,47,11
89,90,480,2025-05-24,settings_update,b03f9d10-9904-4afe-b6fd-db2f1e9b99af,21,5
90,91,121,2025-02-16,login,8dc13109-a33c-43c3-bff1-8ab48692d98d,7,2
91,92,287,2025-03-30,report_generated,d4ae97f7-2fcc-42ba-914f-599496d40ef3,13,3
92,93,303,2025-05-03,feature_X_used,8346b3c9-824c-4653-b3fe-b532755268e3,18,5
93,94,69,2025-12-18,dashboard_view,822827d1-da64-4cfa-8c75-766a9de2d146,51,12
94,95,20,2024-05-11,dashboard_view,0094ff24-a7ac-4cd4-a53e-392bcc3f1c80,19,5
95,96,103,2024-03-19,export_clicked,724a90b8-9b96-4b83-b9f5-cc47f40b3ad9,12,3
96,97,265,2025-12-16,feature_X_used,6c821a3a-3606-4684-bd4c-fc342180e27e,51,12
